ID,Response,ID,Response
1-smart-CnC,7,1-smart-CnD,1.333333333
10-stupid-CnC,6.571428571,10-stupid-CnD,1
11-stupid-CnC,6.363636364,11-stupid-CnD,2.7
12-stupid-CnC,6.545454545,12-stupid-CnD,1.909090909
13-fortunate-CnC,7,13-fortunate-CnD,2.076923077
14-fortunate-CnC,5.3,14-fortunate-CnD,1.666666667
15-fortunate-CnC,6.555555556,15-fortunate-CnD,1.111111111
16-fortunate-CnC,6.333333333,16-fortunate-CnD,1
17-fortunate-CnC,5.416666667,17-fortunate-CnD,2.272727273
18-fortunate-CnC,6.333333333,18-fortunate-CnD,1.666666667
19-brave-CnC,5.888888889,19-brave-CnD,1.454545455
2-smart-CnC,6,2-smart-CnD,1.090909091
20-brave-CnC,5.888888889,20-brave-CnD,3.181818182
21-brave-CnC,6.4,21-brave-CnD,3.4
22-brave-CnC,5.916666667,22-brave-CnD,1.454545455
23-brave-CnC,6.111111111,23-brave-CnD,1.818181818
24-brave-CnC,7,24-brave-CnD,3.375
25-lucky-CnC,5.4,25-lucky-CnD,1.416666667
26-lucky-CnC,5.272727273,26-lucky-CnD,1.7
27-lucky-CnC,6.555555556,27-lucky-CnD,2.454545455
28-lucky-CnC,6.181818182,28-lucky-CnD,1.222222222
29-lucky-CnC,6,29-lucky-CnD,1.777777778
3-smart-CnC,6.666666667,3-smart-CnD,2.727272727
30-lucky-CnC,6.666666667,30-lucky-CnD,1.3
31-wise-CnC,7,31-wise-CnD,1.1
32-wise-CnC,6.833333333,32-wise-CnD,2.666666667
33-wise-CnC,6.909090909,33-wise-CnD,1
34-wise-CnC,6,34-wise-CnD,3.2
35-wise-CnC,6.272727273,35-wise-CnD,1.555555556
36-wise-CnC,6.222222222,36-wise-CnD,1.8
37-foolish-CnC,6.307692308,37-foolish-CnD,2
38-foolish-CnC,5.636363636,38-foolish-CnD,2.333333333
39-foolish-CnC,5.416666667,39-foolish-CnD,1.090909091
4-smart-CnC,6.888888889,4-smart-CnD,1.384615385
40-foolish-CnC,4,40-foolish-CnD,1.8
41-foolish-CnC,5.75,41-foolish-CnD,1.083333333
42-foolish-CnC,5.8,42-foolish-CnD,1
43-polite-CnC,6.7,43-polite-CnD,1.333333333
44-polite-CnC,6.083333333,44-polite-CnD,1.3
45-polite-CnC,5.818181818,45-polite-CnD,1
46-polite-CnC,6.357142857,46-polite-CnD,1.444444444
47-polite-CnC,6.333333333,47-polite-CnD,1.083333333
48-polite-CnC,5.909090909,48-polite-CnD,1.818181818
49-rude-CnC,5.4,49-rude-CnD,1.416666667
5-smart-CnC,6.6,5-smart-CnD,1.1
50-rude-CnC,6.571428571,50-rude-CnD,1
51-rude-CnC,4.555555556,51-rude-CnD,1.75
52-rude-CnC,6.5,52-rude-CnD,1.333333333
53-rude-CnC,6.909090909,53-rude-CnD,1
54-rude-CnC,5.4,54-rude-CnD,1.333333333
55-mean-CnC,6.777777778,55-mean-CnD,1
56-mean-CnC,6.7,56-mean-CnD,1
57-mean-CnC,6.727272727,57-mean-CnD,1.777777778
58-mean-CnC,6.7,58-mean-CnD,1.083333333
59-mean-CnC,6.5,59-mean-CnD,1
6-smart-CnC,6.8,6-smart-CnD,1.6
60-mean-CnC,6.333333333,60-mean-CnD,1.1
7-stupid-CnC,6.333333333,7-stupid-CnD,1.444444444
8-stupid-CnC,6.888888889,8-stupid-CnD,1.333333333
9-stupid-CnC,6,9-stupid-CnD,1