Adjective,ID Consonant,Response Consonant,ID Dissonant,Response Dissonant,Difference
brave,22-brave-CxC,6,22-brave-CxD,2.181818182,3.818181818
brave,20-brave-CxC,6.916666667,20-brave-CxD,3.9,3.016666667
brave,21-brave-CxC,5.777777778,21-brave-CxD,3.071428571,2.706349206
brave,19-brave-CxC,6.6,19-brave-CxD,4.111111111,2.488888889
brave,23-brave-CxC,6.1,23-brave-CxD,3.9,2.2
brave,24-brave-CxC,5.083333333,24-brave-CxD,3,2.083333333
foolish,38-foolish-CxC,6.9,38-foolish-CxD,1.1,5.8
foolish,37-foolish-CxC,6.666666667,37-foolish-CxD,1.4,5.266666667
foolish,39-foolish-CxC,6.454545455,39-foolish-CxD,1.2,5.254545455
foolish,42-foolish-CxC,6.727272727,42-foolish-CxD,2.333333333,4.393939394
foolish,40-foolish-CxC,5,40-foolish-CxD,1.272727273,3.727272727
foolish,41-foolish-CxC,5.857142857,41-foolish-CxD,2.444444444,3.412698413
fortunate,15-fortunate-CxC,5.818181818,15-fortunate-CxD,1.363636364,4.454545455
fortunate,17-fortunate-CxC,6.111111111,17-fortunate-CxD,1.75,4.361111111
fortunate,13-fortunate-CxC,6.6,13-fortunate-CxD,2.818181818,3.781818182
fortunate,18-fortunate-CxC,5.285714286,18-fortunate-CxD,1.545454545,3.74025974
fortunate,14-fortunate-CxC,4.9,14-fortunate-CxD,1.454545455,3.445454545
fortunate,16-fortunate-CxC,4.666666667,16-fortunate-CxD,1.6,3.066666667
lucky,28-lucky-CxC,5.625,28-lucky-CxD,2.363636364,3.261363636
lucky,25-lucky-CxC,4.888888889,25-lucky-CxD,1.666666667,3.222222222
lucky,27-lucky-CxC,5.5,27-lucky-CxD,2.545454545,2.954545455
lucky,30-lucky-CxC,5.222222222,30-lucky-CxD,2.454545455,2.767676768
lucky,26-lucky-CxC,5.769230769,26-lucky-CxD,3.3,2.469230769
lucky,29-lucky-CxC,4.6,29-lucky-CxD,3.5,1.1
mean,56-mean-CxC,5.615384615,56-mean-CxD,1.818181818,3.797202797
mean,55-mean-CxC,4.727272727,55-mean-CxD,1.111111111,3.616161616
mean,57-mean-CxC,4.909090909,57-mean-CxD,1.363636364,3.545454545
mean,59-mean-CxC,5.9,59-mean-CxD,2.444444444,3.455555556
mean,58-mean-CxC,5.454545455,58-mean-CxD,2.333333333,3.121212121
mean,60-mean-CxC,6.555555556,60-mean-CxD,6,0.555555556
polite,45-polite-CxC,6.666666667,45-polite-CxD,1,5.666666667
polite,44-polite-CxC,6.272727273,44-polite-CxD,1,5.272727273
polite,43-polite-CxC,6.777777778,43-polite-CxD,1.818181818,4.95959596
polite,47-polite-CxC,6.5,47-polite-CxD,1.555555556,4.944444444
polite,48-polite-CxC,6.8,48-polite-CxD,2.2,4.6
polite,46-polite-CxC,6.538461538,46-polite-CxD,2,4.538461538
rude,50-rude-CxC,6.181818182,50-rude-CxD,1.727272727,4.454545455
rude,51-rude-CxC,5.307692308,51-rude-CxD,1,4.307692308
rude,49-rude-CxC,5.875,49-rude-CxD,1.7,4.175
rude,52-rude-CxC,6.333333333,52-rude-CxD,2.666666667,3.666666667
rude,53-rude-CxC,5.111111111,53-rude-CxD,1.7,3.411111111
rude,54-rude-CxC,5.545454545,54-rude-CxD,3,2.545454545
smart,1-smart-CxC,6.545454545,1-smart-CxD,1.545454545,5
smart,3-smart-CxC,6,3-smart-CxD,1.222222222,4.777777778
smart,2-smart-CxC,5.888888889,2-smart-CxD,1.333333333,4.555555556
smart,6-smart-CxC,6.666666667,6-smart-CxD,3,3.666666667
smart,5-smart-CxC,6.071428571,5-smart-CxD,2.875,3.196428571
smart,4-smart-CxC,6.666666667,4-smart-CxD,5.166666667,1.5
stupid,9-stupid-CxC,6.444444444,9-stupid-CxD,1.090909091,5.353535354
stupid,10-stupid-CxC,6.416666667,10-stupid-CxD,1.333333333,5.083333333
stupid,7-stupid-CxC,6.7,7-stupid-CxD,2.076923077,4.623076923
stupid,8-stupid-CxC,5.125,8-stupid-CxD,1.181818182,3.943181818
stupid,12-stupid-CxC,6.416666667,12-stupid-CxD,2.818181818,3.598484848
stupid,11-stupid-CxC,5.3,11-stupid-CxD,1.777777778,3.522222222
wise,31-wise-CxC,6.818181818,31-wise-CxD,1.333333333,5.484848485
wise,33-wise-CxC,6.846153846,33-wise-CxD,1.583333333,5.262820513
wise,36-wise-CxC,6,36-wise-CxD,1.4,4.6
wise,34-wise-CxC,6.428571429,34-wise-CxD,2,4.428571429
wise,32-wise-CxC,6.454545455,32-wise-CxD,2.444444444,4.01010101
wise,35-wise-CxC,6.8,35-wise-CxD,2.833333333,3.966666667
,,5.995527482,,2.162190541,3.833336941